person1_ts,person2_ts
-0.063077,-0.085319
-0.063077,-0.085319
-0.079896,-0.11064
-0.079896,-0.11064
-0.090308,-0.13214
-0.092186,-0.14047
-0.092186,-0.14047
-0.093744,-0.14895
-0.096076,-0.15615
-0.10092,-0.16775
-0.10261,-0.17067
-0.10287,-0.17089
-0.10191,-0.16845
-0.10191,-0.16845
-0.10191,-0.16845
-0.095468,-0.16518
-0.095468,-0.16518
-0.088273,-0.16271
-0.088273,-0.16271
-0.080115,-0.15665
-0.080115,-0.15665
-0.080115,-0.15665
-0.067838,-0.13268
-0.067838,-0.13268
-0.062348,-0.10527
-0.062348,-0.10527
-0.058855,-0.069209
-0.058855,-0.069209
-0.057714,-0.048285
-0.056204,-0.026629
-0.056204,-0.026629
-0.04756,0.039846
-0.04756,0.039846
-0.04232,0.061341
-0.034482,0.082086
-0.034482,0.082086
-0.0037862,0.1398
-0.0037862,0.1398
-0.0037862,0.1398
0.041422,0.18384
0.041422,0.18384
0.068061,0.19433
0.068061,0.19433
0.068061,0.19433
0.11096,0.19196
0.11096,0.19196
0.13401,0.18104
0.13401,0.18104
0.13401,0.18104
0.14362,0.14226
0.14362,0.14226
0.14321,0.09441
0.14321,0.09441
0.1417,0.054137
0.13947,0.034456
0.13692,0.013436
0.13383,-0.0059202
0.1311,-0.025993
0.12836,-0.045891
0.12836,-0.045891
0.11708,-0.082153
0.11708,-0.082153
0.099929,-0.11523
0.089318,-0.12944
0.075859,-0.14172
0.060928,-0.15262
0.04377,-0.16358
0.025045,-0.17096
0.025045,-0.17096
-0.016376,-0.17836
-0.016376,-0.17836
-0.067136,-0.17604
-0.067136,-0.17604
-0.10824,-0.17384
-0.12682,-0.172
-0.12682,-0.172
-0.15703,-0.16782
-0.16672,-0.16441
-0.16672,-0.16441
-0.17382,-0.15185
-0.17382,-0.15185
-0.17323,-0.13169
-0.17323,-0.13169
-0.17121,-0.10365
-0.17121,-0.10365
-0.1676,-0.070088
-0.16524,-0.051925
-0.16524,-0.051925
-0.14948,-0.013488
-0.14948,-0.013488
-0.1256,0.019921
-0.11006,0.03665
-0.11006,0.03665
-0.11006,0.03665
-0.049913,0.081971
